Rk,Player,Pos,Age,Tm,G,GS,MP,FG,3P,DRB,TRB
55,Malaki Branham,SF,19,SAS,66,32,23.5,4.1,1.2,2.3,2.7
56,Jarrell Brantley,PF,26,UTA,4,0,9.8,2,1,1.3,1.5
57,Christian Braun,SG,21,DEN,76,6,15.5,1.9,0.4,1.8,2.4
58,Mikal Bridges,SF,26,TOT,83,83,35.7,7.1,2,3.4,4.4
58,Mikal Bridges,SF,26,PHO,56,56,36.4,6.3,1.8,3.3,4.3
58,Mikal Bridges,SF,26,BRK,27,27,34.2,8.9,2.5,3.6,4.5
59,Oshae Brissett,SF,24,IND,65,2,16.7,1.9,0.7,2.4,3.4
60,Malcolm Brogdon,PG,30,BOS,67,0,26,5.3,2,3.6,4.2
61,Dillon Brooks,SF,27,MEM,73,73,30.3,5.4,2,2.7,3.3
62,Bruce Brown,SG,26,DEN,80,31,28.5,4.5,1.1,3.3,4.1
63,Greg Brown III,PF,21,POR,16,0,5.8,0.7,0.1,1.1,1.2
64,Jaylen Brown,SF,26,BOS,67,67,35.9,10.1,2.4,5.7,6.9
65,Kendall Brown,SG,19,IND,6,0,6.7,0.7,0,0.7,1
66,Moses Brown,C,23,TOT,36,1,8.2,1.7,0,2.3,3.9
66,Moses Brown,C,23,LAC,34,1,8.5,1.8,0,2.4,4.1
66,Moses Brown,C,23,BRK,2,0,3,0,0,0,0
67,Sterling Brown,SG,27,LAL,4,0,6,0,0,1.3,2
68,Troy Brown Jr.,SF,23,LAL,76,45,24.5,2.6,1.4,3.2,4.1
69,Jalen Brunson,PG,26,NYK,68,68,35,8.6,2,3,3.5
70,Thomas Bryant,C,25,TOT,59,26,18.3,3.9,0.4,4.3,5.7
70,Thomas Bryant,C,25,LAL,41,25,21.4,4.8,0.5,5.2,6.8
70,Thomas Bryant,C,25,DEN,18,1,11.4,1.8,0.2,2.3,3.3
71,Reggie Bullock,SF,31,DAL,78,55,30.3,2.5,1.9,3.2,3.6
72,Alec Burks,SG,31,DET,51,8,22,3.9,1.9,2.7,3.1
73,Deonte Burton,SG,29,SAC,2,0,3,0,0,0,0
74,Jared Butler,SG,22,OKC,6,1,12.8,2.5,1.2,0.5,0.7
75,Jimmy Butler,SF,33,MIA,64,64,33.4,7.5,0.6,3.7,5.9
